experiment_id,sample_id,sample_storage_days,rin_score,reagent_age_days,calibration_gap_days,room_temp_variance,operator_experience_years,previous_operator_failure_rate,run_duration_minutes,contamination_flag,outcome
1,SMP001,12,5.99,50,50,1.49,6.4,0.078,100,0,0
2,SMP002,3,8.09,53,44,3.79,7.1,0.263,93,0,0
3,SMP003,14,7.36,4,76,0.74,8.3,0.219,89,0,1
4,SMP004,19,6.64,47,78,4.40,3.5,0.189,84,0,1
5,SMP005,13,6.25,59,11,3.23,1.0,0.073,133,0,1
6,SMP006,2,8.53,24,73,3.91,9.1,0.231,86,0,1
7,SMP007,30,8.55,36,76,2.20,6.5,0.227,129,1,0
8,SMP008,10,9.72,45,79,1.05,1.2,0.293,110,0,1
9,SMP009,20,7.34,22,34,3.72,9.5,0.041,128,0,0
10,SMP010,22,5.17,3,10,2.13,7.7,0.125,125,0,1
11,SMP011,6,7.44,55,5,2.71,6.5,0.119,80,1,1
12,SMP012,15,6.96,33,49,0.80,8.1,0.178,111,1,0
13,SMP013,19,9.45,35,15,1.01,1.9,0.103,88,0,1
14,SMP014,12,9.93,46,72,3.42,3.1,0.038,121,0,1
15,SMP015,29,5.33,27,5,4.01,3.1,0.207,110,0,0
16,SMP016,23,9.10,55,4,2.55,4.8,0.195,127,0,0
17,SMP017,10,6.06,7,84,1.68,7.4,0.186,130,0,1
18,SMP018,30,6.34,23,7,1.47,10.4,0.082,92,0,0
19,SMP019,16,6.11,35,19,1.75,9.9,0.236,136,0,1
20,SMP020,16,9.19,37,49,3.91,7.0,0.224,116,1,1
21,SMP021,1,7.50,28,72,2.93,7.0,0.132,86,0,0
22,SMP022,23,7.06,48,67,1.67,3.1,0.137,99,0,1
23,SMP023,15,8.49,60,80,2.31,6.5,0.205,106,0,0
24,SMP024,20,9.38,29,65,1.29,8.8,0.170,91,0,0
25,SMP025,16,6.08,35,19,1.84,0.9,0.071,133,1,1
26,SMP026,23,8.87,36,56,1.83,8.6,0.023,127,0,1
27,SMP027,21,8.21,8,60,4.29,8.1,0.296,109,0,1
28,SMP028,4,7.42,6,88,2.87,1.0,0.156,96,1,1
29,SMP029,18,9.68,57,85,3.80,3.8,0.056,127,0,0
30,SMP030,5,6.53,7,60,4.36,8.8,0.093,133,0,1
31,SMP031,28,7.99,13,23,2.96,3.8,0.253,83,0,0
32,SMP032,25,9.69,12,12,0.83,0.7,0.270,95,0,1
33,SMP033,28,5.81,3,64,2.25,1.0,0.296,116,0,0
34,SMP034,25,9.63,9,84,1.43,4.2,0.049,113,0,0
35,SMP035,2,7.71,34,15,0.96,1.6,0.065,116,0,1
36,SMP036,9,8.79,59,52,4.23,10.2,0.018,94,0,1
37,SMP037,19,8.82,58,43,2.49,1.3,0.279,94,0,1
38,SMP038,27,8.95,17,88,0.64,3.3,0.092,111,0,1
39,SMP039,18,5.27,32,40,2.94,8.0,0.287,101,0,0
40,SMP040,22,5.16,2,4,1.01,5.6,0.057,95,0,1
41,SMP041,3,7.72,27,50,2.36,7.1,0.286,116,0,1
42,SMP042,1,6.98,55,34,1.01,5.7,0.070,107,0,1
43,SMP043,19,6.77,55,43,3.13,9.1,0.107,82,0,0
44,SMP044,11,8.52,30,34,1.88,6.8,0.037,114,0,1
45,SMP045,6,8.35,48,88,2.47,5.8,0.059,93,0,1
46,SMP046,8,6.32,36,17,0.93,0.5,0.217,106,0,1
47,SMP047,18,8.42,41,33,3.51,7.3,0.052,119,1,1
48,SMP048,22,5.96,47,30,1.66,5.2,0.158,82,0,1
49,SMP049,22,9.04,54,5,2.73,6.9,0.175,128,0,1
50,SMP050,21,8.71,38,80,2.73,1.8,0.300,107,0,1
51,SMP051,12,7.43,14,62,3.35,5.7,0.154,129,0,0
52,SMP052,2,5.43,20,35,4.30,6.4,0.039,123,0,1
53,SMP053,24,9.84,27,31,1.95,8.4,0.268,135,0,1
54,SMP054,9,9.53,43,75,4.48,5.5,0.164,84,0,1
55,SMP055,25,7.65,12,36,2.07,8.2,0.215,86,0,1
56,SMP056,13,6.43,9,74,3.31,1.0,0.046,108,1,1
57,SMP057,18,6.73,1,3,0.90,4.7,0.248,122,0,1
58,SMP058,17,9.96,18,44,2.69,3.4,0.246,84,0,1
59,SMP059,14,7.64,18,80,2.58,10.1,0.086,102,0,1
60,SMP060,5,5.89,29,77,3.87,7.0,0.224,117,1,0
61,SMP061,10,7.37,23,43,1.50,8.6,0.105,88,0,1
62,SMP062,21,6.06,2,42,1.58,10.1,0.301,138,1,0
63,SMP063,2,6.56,22,79,1.67,8.8,0.091,131,0,1
64,SMP064,6,5.51,58,42,2.26,8.7,0.250,111,0,1
65,SMP065,11,9.20,13,44,3.83,7.5,0.309,133,0,1
66,SMP066,19,6.77,54,32,0.98,5.9,0.106,139,1,1
